"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Mon Aug 26 10:37:43 GMT 2024","Mon Aug 26 10:37:43 GMT 2024","0","","main","","","","test_find_by_pet_id",""
"passed","Mon Aug 26 10:37:16 GMT 2024","Mon Aug 26 10:37:22 GMT 2024","5713","","main","","","","test_upload_pet_image_sizes_statuses[img_size0-200]",""
"passed","Mon Aug 26 10:37:14 GMT 2024","Mon Aug 26 10:37:14 GMT 2024","702","","main","","","","test_upload_image_metadata[Random image upload]",""
"passed","Mon Aug 26 10:37:12 GMT 2024","Mon Aug 26 10:37:13 GMT 2024","635","","main","","","","test_upload_pet_image_format[PNG]",""
"passed","Mon Aug 26 10:37:22 GMT 2024","Mon Aug 26 10:37:43 GMT 2024","21446","","main","","","","test_upload_pet_image_sizes_statuses[img_size1-200]",""
"passed","Mon Aug 26 10:37:15 GMT 2024","Mon Aug 26 10:37:16 GMT 2024","896","","main","","","","test_upload_image_metadata[]",""
"passed","Mon Aug 26 10:37:13 GMT 2024","Mon Aug 26 10:37:14 GMT 2024","840","","main","","","","test_upload_pet_image_format[JPEG]",""
"passed","Mon Aug 26 10:37:43 GMT 2024","Mon Aug 26 10:37:43 GMT 2024","286","","main","","","","test_upload_pet_image_sizes_statuses[img_size2-200]",""
"broken","Mon Aug 26 10:37:43 GMT 2024","Mon Aug 26 10:37:43 GMT 2024","0","","main","","","","test_update_pet_data",""
"failed","Mon Aug 26 10:37:43 GMT 2024","Mon Aug 26 10:37:43 GMT 2024","93","","main","","","","test_upload_pet_image_sizes_statuses[img_size3-400]",""
"passed","Mon Aug 26 10:37:14 GMT 2024","Mon Aug 26 10:37:15 GMT 2024","666","","main","","","","test_upload_image_metadata[112324]",""
